Category,Section,Standard Ref,Assessment Question,Compliance,Notes,Owner,Priority
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.5,"Has the organisation implemented, documented and evidenced its approach to PII de-identification and deletion at the end of processing?",Partially Compliant,PII de-identification and deletion at the end of processing is partly in place but lacks consistent evidence or full documentation.,N. Islam,Low
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.6,"Has the organisation implemented, documented and evidenced its approach to temporary files?",Partially Compliant,Temporary files is partly in place but lacks consistent evidence or full documentation.,N. Islam,High
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.7,"Has the organisation implemented, documented and evidenced its approach to retention?",Not Compliant,Gap identified during review — retention has not been implemented. Remediation plan required.,T. Ahmed,Low
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.8,"Has the organisation implemented, documented and evidenced its approach to disposal?",Fully Compliant,,DPO Team,
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.9,"Has the organisation implemented, documented and evidenced its approach to PII transmission controls?",Fully Compliant,,Privacy Office,
Annex A Controls,"A.7.5 - PII sharing, transfer, and disclosure",A.7.5.1,"Has the organisation implemented, documented and evidenced its approach to identify basis for PII transfer between jurisdictions?",Fully Compliant,,A. Rahman,
Annex A Controls,"A.7.5 - PII sharing, transfer, and disclosure",A.7.5.2,"Has the organisation implemented, documented and evidenced its approach to countries and international organizations to which PII can be transferred?",Partially Compliant,Countries and international organizations to which PII can be transferred is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,High
Annex A Controls,"A.7.5 - PII sharing, transfer, and disclosure",A.7.5.3,"Has the organisation implemented, documented and evidenced its approach to records of transfer of PII?",Fully Compliant,,S. Chowdhury,
Annex A Controls,"A.7.5 - PII sharing, transfer, and disclosure",A.7.5.4,"Has the organisation implemented, documented and evidenced its approach to records of PII disclosure to third parties?",Fully Compliant,,A. Rahman,
Annex B Controls,B.8.2 - Conditions for collection and processing,B.8.2.1,"Has the organisation implemented, documented and evidenced its approach to customer agreement?",Partially Compliant,Customer agreement is partly in place but lacks consistent evidence or full documentation.,R. Hasan,High
Annex B Controls,B.8.2 - Conditions for collection and processing,B.8.2.2,"Has the organisation implemented, documented and evidenced its approach to organization's purposes?",Not Compliant,Gap identified during review — organization's purposes has not been implemented. Remediation plan required.,T. Ahmed,Medium
Annex B Controls,B.8.2 - Conditions for collection and processing,B.8.2.3,"Has the organisation implemented, documented and evidenced its approach to marketing and advertising use?",Not Compliant,Gap identified during review — marketing and advertising use has not been implemented. Remediation plan required.,T. Ahmed,Low
Annex B Controls,B.8.2 - Conditions for collection and processing,B.8.2.4,"Has the organisation implemented, documented and evidenced its approach to infringing instruction?",Fully Compliant,,N. Islam,
Annex B Controls,B.8.2 - Conditions for collection and processing,B.8.2.5,"Has the organisation implemented, documented and evidenced its approach to customer obligations?",Partially Compliant,Customer obligations is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,Medium
Annex B Controls,B.8.2 - Conditions for collection and processing,B.8.2.6,"Has the organisation implemented, documented and evidenced its approach to records related to processing PII?",Partially Compliant,Records related to processing PII is partly in place but lacks consistent evidence or full documentation.,T. Ahmed,High
Annex B Controls,B.8.3 - Obligations to PII principals,B.8.3.1,"Has the organisation implemented, documented and evidenced its approach to obligations to PII principals?",Fully Compliant,,Privacy Office,
Annex B Controls,B.8.4 - Privacy by design and privacy by default,B.8.4.1,"Has the organisation implemented, documented and evidenced its approach to temporary files?",Fully Compliant,,T. Ahmed,
Annex B Controls,B.8.4 - Privacy by design and privacy by default,B.8.4.2,"Has the organisation implemented, documented and evidenced its approach to return, transfer or disposal of PII?",Fully Compliant,,N. Islam,
Annex B Controls,B.8.4 - Privacy by design and privacy by default,B.8.4.3,"Has the organisation implemented, documented and evidenced its approach to PII transmission controls?",Not Applicable,,S. Chowdhury,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.1,"Has the organisation implemented, documented and evidenced its approach to basis for PII transfer between jurisdictions?",Fully Compliant,,M. Karim,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.2,"Has the organisation implemented, documented and evidenced its approach to countries and international organizations to which PII can be transferred?",Fully Compliant,,R. Hasan,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.3,"Has the organisation implemented, documented and evidenced its approach to records of PII disclosure to third parties?",Fully Compliant,,A. Rahman,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.4,"Has the organisation implemented, documented and evidenced its approach to notification of PII disclosure requests?",Not Applicable,,DPO Team,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.5,"Has the organisation implemented, documented and evidenced its approach to legally binding PII disclosures?",Fully Compliant,,N. Islam,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.6,"Has the organisation implemented, documented and evidenced its approach to disclosure of subcontractors used to process PII?",Fully Compliant,,S. Chowdhury,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.7,"Has the organisation implemented, documented and evidenced its approach to engagement of a subcontractor to process PII?",Fully Compliant,,T. Ahmed,
Annex B Controls,"B.8.5 - PII sharing, transfer, and disclosure",B.8.5.8,"Has the organisation implemented, documented and evidenced its approach to change of subcontractor to process PII?",Not Compliant,Gap identified during review — change of subcontractor to process PII has not been implemented. Remediation plan required.,T. Ahmed,High
